Subject D0063: loading epochs...
Reading /cwork/rl330/BIDS-1.1_GlobalLocal/BIDS/derivatives/freqFilt/figs/D0063/D0063_stimulus_s_(-0.5, 0.0)_ev1-epo.fif ...
    Found the data of interest:
        t =    -500.00 ...       0.00 ms
        0 CTF compensation matrices available
Not setting metadata
182 matching events found
No baseline correction applied
0 projection items activated
    Loaded 182 epochs for stimulus_s_(-0.5, 0.0) (LOF1,LOF2,LOF3...)
Epoch summary saved.
Processing subject D0063...
Using ROIs: ['G_front_inf-Opercular', 'G_front_inf-Orbital', 'G_front_inf-Triangul', 'G_front_middle', 'G_front_sup', 'Lat_Fis-ant-Horizont', 'Lat_Fis-ant-Vertical', 'S_circular_insula_ant', 'S_circular_insula_sup', 'S_front_inf', 'S_front_middle', 'S_front_sup']
Computing coherence for D0063, 36 channels, 630 pairs
NOTE: pick_channels() is a legacy function. New code should use inst.pick(...).
Adding metadata with 3 columns
Connectivity computation...
   Processing epoch 1 / 182 ...
   Processing epoch 2 / 182 ...
   Processing epoch 3 / 182 ...
   Processing epoch 4 / 182 ...
   Processing epoch 5 / 182 ...
   Processing epoch 6 / 182 ...
   Processing epoch 7 / 182 ...
   Processing epoch 8 / 182 ...
   Processing epoch 9 / 182 ...
   Processing epoch 10 / 182 ...
   Processing epoch 11 / 182 ...
   Processing epoch 12 / 182 ...
   Processing epoch 13 / 182 ...
   Processing epoch 14 / 182 ...
   Processing epoch 15 / 182 ...
   Processing epoch 16 / 182 ...
   Processing epoch 17 / 182 ...
   Processing epoch 18 / 182 ...
   Processing epoch 19 / 182 ...
   Processing epoch 20 / 182 ...
   Processing epoch 21 / 182 ...
   Processing epoch 22 / 182 ...
   Processing epoch 23 / 182 ...
   Processing epoch 24 / 182 ...
   Processing epoch 25 / 182 ...
   Processing epoch 26 / 182 ...
   Processing epoch 27 / 182 ...
   Processing epoch 28 / 182 ...
   Processing epoch 29 / 182 ...
   Processing epoch 30 / 182 ...
   Processing epoch 31 / 182 ...
